,port_code,port_name
4369,40100,Kalix
4370,40100,Kalmar
4371,40100,Karlskrona
4372,40100,Karlstad
4373,40100,Karskar
4374,40100,Kopmanholmen
4375,40100,Kramfors
4376,40100,Kristinehamn
4377,40100,Ljusne
4378,40100,Lysekil
4379,40100,Mem
4380,40100,Munksund
4381,40100,Nederkalix
4382,40100,Norrbyskar
4383,40100,Nynashamn
4384,40100,Ortviken
4385,40100,Orviken
4386,40100,Ostrand
4387,40100,Otterbacken
4388,40100,Pitea
4389,40100,Ronneby
4390,40100,Saljfviken
4391,40100,Sandhamn
4392,40100,Sikea
4393,40100,Skogholl
4394,40100,Skonvik
4395,40100,Skutskar
4396,40100,Slite
4397,40100,Soraker
4398,40100,Stocka
4399,40100,Svartvik
4400,40100,Trollhattan
4401,40100,Trollhatte Canal
4402,40100,Ulfvik
4403,40100,Ulvvik
4404,40100,Ursviken
4405,40100,Vaja
4406,40100,Varberg
4407,40100,Vifstavarf
4408,40100,Vinga
4409,40100,Vivstava
4410,40100,Ystad
4411,40100,All Other Sweden Ports
4412,40100,Arnoviken
4413,40100,Bollsta
4414,40100,Brofjorden
4415,40100,Burea
4416,40100,Carlskrona
4417,40100,Domjou
4418,40100,Domsjo
4419,40100,Dynas
4420,40100,Essvik
4421,40100,Essviken
4422,40100,Fagervik
4423,40100,Frano
4424,40100,Furogrund
4425,40100,Furuogrund
4426,40100,Harare
4427,40100,Hargshamn
4428,40100,Harnosand
4429,40100,Hernosand
4430,40100,Hornesfors
4431,40100,Hudiksvall
4432,40100,Kalix
4433,40100,Kalmar
4434,40100,Karlskrona
4435,40100,Karlstad
4436,40100,Karskar
4437,40100,Kopmanholmen
4438,40100,Kramfors
4439,40100,Kristinehamn
4440,40100,Ljusne
4441,40100,Lysekil
4442,40100,Mem
4443,40100,Munksund
4444,40100,Nederkalix
4445,40100,Norrbyskar
4446,40100,Nynashamn
4447,40100,Ortviken
4448,40100,Orviken
4449,40100,Ostrand
4450,40100,Otterbacken
4451,40100,Pitea
4452,40100,Ronneby
4453,40100,Saljfviken
4454,40100,Sandhamn
4455,40100,Sikea
4456,40100,Skogholl
4457,40100,Skonvik
4458,40100,Skutskar
4459,40100,Slite
4460,40100,Soraker
4461,40100,Stocka
4462,40100,Svartvik
4463,40100,Trollhattan
4464,40100,Trollhatte Canal
4465,40100,Ulfvik
4466,40100,Ulvvik
4467,40100,Ursviken
4468,40100,Vaja
4469,40100,Varberg
4470,40100,Vifstavarf
4471,40100,Vinga
4472,40100,Vivstava
4473,40100,Ystad
4474,40115,Gaddvik
4475,40115,Gaddvik
4476,40116,Gafle
4477,40116,Gavle
4478,40116,Gefle
4479,40116,Gevle
4480,40116,Gafle/Gavle/Gefle/Gevle
4481,40116,Gafle
4482,40116,Gavle
4483,40116,Gefle
4484,40116,Gevle
4485,40116,Gafle/Gavle/Gefle/Gevle
4486,40117,Goteborg
4487,40117,Gothenburg
4488,40117,Goteborg/Gothenburg
4489,40117,Goteborg
4490,40117,Gothenburg
4491,40117,Goteborg/Gothenburg
4492,40118,Hallstavik
4493,40118,Hallstavik
4494,40119,Halmstad
4495,40119,Halmstad
4496,40120,Halsingborg
4497,40120,Helsingborg
4498,40120,Halsingborg/Helsingborg
4499,40120,Halsingborg
4500,40120,Helsingborg
4501,40120,Halsingborg/Helsingborg
4502,40121,Falkenberg
4503,40121,Falkenberg
4504,40122,Ahus
4505,40122,Ahus
4506,40123,Hoganas
4507,40123,Hoganas
4508,40124,Skelleftea
4509,40124,Skelleftehamn
4510,40124,Skelleftea/Skelleftehamn
4511,40124,Skelleftea
4512,40124,Skelleftehamn
4513,40124,Skelleftea/Skelleftehamn
4514,40125,Umea
4515,40125,Umea
4516,40127,Holmsund
4517,40127,Holmsund
4518,40129,Iggesund
4519,40129,Iggesund
4520,40132,Karlsborg
4521,40132,Karlsborg
4522,40133,Karlshamn
4523,40133,Karlshamn
4524,40142,Lulea
4525,40142,Lulea
4526,40143,Limhamn
4527,40143,Malmo
4528,40143,Limhamn/Malmo
4529,40143,Limhamn
4530,40143,Malmo
4531,40143,Limhamn/Malmo
4532,40148,Norrkoping
4533,40148,Norrkoping
4534,40149,Norrsundet
4535,40149,Norrsundet
4536,40150,Lanskrona
4537,40150,Lanskrona
4538,40153,Obbola
4539,40153,Obbola
4540,40155,Ornskoldsvik
4541,40155,Ornskoldsvik
4542,40157,Oskarshamn
4543,40157,Oskarshamn
4544,40159,Oxelosund
4545,40159,Oxelosund
4546,40161,Ronnsker
4547,40161,Ronnsker
4548,40166,Sandarne
4549,40166,Sandarne
4550,40174,Soderhamn
4551,40174,Soderhamn
4552,40176,Stenungsund
4553,40176,Stenungsund
4554,40179,Stockholm
4555,40179,Stockholm
4556,40180,Stockvik
4557,40180,Stockvik
4558,40182,Sundsvall
4559,40182,Sundsvall
4560,40185,Trelleborg
4561,40185,Trelleborg
4562,40188,Uddevalla
4563,40188,Uddevalla
4564,40191,Utansjo
4565,40191,Utansjo
4566,40192,Vasteras
4567,40192,Vasteras
4568,40194,Vastervik
4569,40194,Vastervik
4570,40196,Vallvik
4571,40196,Vallvik
4572,40197,Wallhamn
4573,40197,Wallhamn
4574,40300,Aalvik
4575,40300,Aandalsnes
4576,40300,All Other Norway Ports
4577,40300,Alvik
4578,40300,Andalsnes
4579,40300,Arendal
4580,40300,Ballangen
4581,40300,Fagerstrand
4582,40300,Grimstad
4583,40300,Guldsmedvik
4584,40300,Haavik
4585,40300,Harstad
4586,40300,Holmestrand
4587,40300,Honningsvaag
4588,40300,Honningsvag
4589,40300,Horten
4590,40300,Jorpeland
4591,40300,Kaarsto
4592,40300,Kambo
4593,40300,Karsto
4594,40300,Kirkenes
4595,40300,Kopervik
4596,40300,Kragero
4597,40300,Langesund
4598,40300,Langstein
4599,40300,Lyngen
4600,40300,Melo
4601,40300,Meloy
4602,40300,Moldtustranda
4603,40300,Namsos
4604,40300,Odda
4605,40300,Odde
4606,40300,Risor
4607,40300,Sandefjord
4608,40300,Sarpsborg
4609,40300,Son
4610,40300,Steilene
4611,40300,Steinkjer
4612,40300,Svolvaer
4613,40300,Tau
4614,40300,Tofte
4615,40300,Tonsberg
4616,40300,Vaksdal
4617,40300,Aalvik
4618,40300,Aandalsnes
4619,40300,All Other Norway Ports
4620,40300,Alvik
4621,40300,Andalsnes
4622,40300,Arendal
4623,40300,Ballangen
4624,40300,Fagerstrand
4625,40300,Grimstad
4626,40300,Guldsmedvik
4627,40300,Haavik
4628,40300,Harstad
4629,40300,Holmestrand
4630,40300,Honningsvaag
4631,40300,Honningsvag
4632,40300,Horten
4633,40300,Jorpeland
4634,40300,Kaarsto
4635,40300,Kambo
4636,40300,Karsto
4637,40300,Kirkenes
4638,40300,Kopervik
4639,40300,Kragero
4640,40300,Langesund
4641,40300,Langstein
4642,40300,Lyngen
4643,40300,Melo
4644,40300,Meloy
4645,40300,Moldtustranda
4646,40300,Namsos
4647,40300,Odda
4648,40300,Odde
4649,40300,Risor
4650,40300,Sandefjord
4651,40300,Sarpsborg
4652,40300,Son
4653,40300,Steilene
4654,40300,Steinkjer
4655,40300,Svolvaer
4656,40300,Tau
4657,40300,Tofte
4658,40300,Tonsberg
4659,40300,Vaksdal
4660,40301,Aalesund
4661,40301,Aalesund
4662,40302,Aardal
4663,40302,Aardalstangen
4664,40302,Ardal
4665,40302,Aardal/Aardalstangen/Ardal
4666,40302,Aardal
4667,40302,Aardalstangen
4668,40302,Ardal
4669,40302,Aardal/Aardalstangen/Ardal
4670,40311,Aagotnes
4671,40311,Bergen
4672,40311,Sture
4673,40311,Aagotnes/Bergen/Sture
4674,40311,Aagotnes
4675,40311,Bergen
4676,40311,Sture
4677,40311,Aagotnes/Bergen/Sture
4678,40313,Brevik
4679,40313,Brevik
4680,40320,Holla
4681,40320,Holla
4682,40321,Drammen
4683,40321,Drammen
4684,40325,Egersund
4685,40325,Egersund
4686,40327,Eydehamn
4687,40327,Eydehamn
4688,40329,Farsund
4689,40329,Farsund
4690,40334,Borg Hbr.
4691,40334,Frederikstad
4692,40334,Fredrikstad
4693,40334,Borg Hbr./Frederikstad/Fredrikstad
4694,40334,Borg Hbr.
4695,40334,Frederikstad
4696,40334,Fredrikstad
4697,40334,Borg Hbr./Frederikstad/Fredrikstad
4698,40335,Larvik
4699,40335,Larvik
4700,40336,Hammerfest
4701,40336,Hammerfest
4702,40337,Bogen
4703,40337,Bogen Bay
4704,40337,Narvik
4705,40337,Bogen/Bogen Bay/Narvik
4706,40337,Bogen
4707,40337,Bogen Bay
4708,40337,Narvik
4709,40337,Bogen/Bogen Bay/Narvik
4710,40338,Tromso
4711,40338,Tromso
4712,40340,Floro
4713,40340,Floro
4714,40342,Halden
4715,40342,Halden
4716,40345,Haugesund
4717,40345,Haugesund
4718,40348,Heroen
4719,40348,Heroen
4720,40363,Kristiansand N
4721,40363,Kristiansand N
4722,40364,Kristiansand S
4723,40364,Kristiansand S
4724,40369,Bodo
4725,40369,Bodo
4726,40370,Mo i Rana
4727,40370,Mo i Rana
4728,40371,Moss
4729,40371,Moss
4730,40372,Maaloy
4731,40372,Maaloy
4732,40373,Mongstad
4733,40373,Mongstad
4734,40377,Lysaker
4735,40377,Oslo
4736,40377,Lysaker/Oslo
4737,40377,Lysaker
4738,40377,Oslo
4739,40377,Lysaker/Oslo
4740,40378,Porsgrunn
4741,40378,Porsgrunn
4742,40379,Rekefjord
4743,40379,Rekefjord
4744,40380,Salten
4745,40380,Salten
4746,40381,Sandnes
4747,40381,Sandnes
4748,40383,Sauda
4749,40383,Sauda
4750,40385,Skien
4751,40385,Skien
4752,40387,Stavanger
4753,40387,Stavanger
4754,40390,Sunndalsora
4755,40390,Sunndalsora
4756,40392,Svelgen
4757,40392,Svelgen
4758,40397,Trondheim
4759,40397,Trondheim
4760,40398,Spitsbergen
4761,40398,Spitsbergen
4762,40500,All Other Finland Ports
4763,40500,Gamlakarleby
4764,40500,Himanko
4765,40500,Jakobstad
4766,40500,Kasko
4767,40500,Kokkola
4768,40500,Mariehamn
4769,40500,Nikolaistad
4770,40500,Pateniemi
4771,40500,Pietarsaari
4772,40500,Tolkis
4773,40500,Tolkkinen
4774,40500,Tornea
4775,40500,Tornio
4776,40500,Valko
4777,40500,Valkom
4778,40500,Vasa
4779,40500,Walkom
4780,40500,All Other Finland Ports
4781,40500,Gamlakarleby
4782,40500,Himanko
4783,40500,Jakobstad
4784,40500,Kasko
4785,40500,Kokkola
4786,40500,Mariehamn
4787,40500,Nikolaistad
4788,40500,Pateniemi
4789,40500,Pietarsaari
4790,40500,Tolkis
4791,40500,Tolkkinen
4792,40500,Tornea
4793,40500,Tornio
4794,40500,Valko
4795,40500,Valkom
4796,40500,Vasa
4797,40500,Walkom
4798,40504,Lappajarvil
4799,40504,Lappohja
4800,40504,Lappajarvil/Lappohja
4801,40504,Lappajarvil
4802,40504,Lappohja
4803,40504,Lappajarvil/Lappohja
4804,40520,Fredrikshamn
4805,40520,Hamina
4806,40520,Fredrikshamn/Hamina
4807,40520,Fredrikshamn
4808,40520,Hamina
4809,40520,Fredrikshamn/Hamina
4810,40523,Hango
4811,40523,Hanko
4812,40523,Hango/Hanko
4813,40523,Hango
4814,40523,Hanko
4815,40523,Hango/Hanko
4816,40525,Helsingfors
4817,40525,Helsinki
4818,40525,Helsingfors/Helsinki
4819,40525,Helsingfors
4820,40525,Helsinki
4821,40525,Helsingfors/Helsinki
4822,40527,Inga
4823,40527,Inkoo
4824,40527,Inga/Inkoo
4825,40527,Inga
4826,40527,Inkoo
4827,40527,Inga/Inkoo
4828,40531,Ouleborg
4829,40531,Oulu
4830,40531,Toppila
4831,40531,Uleaborg
4832,40531,Ouleborg/Oulu/Toppila/Uleaborg
4833,40531,Ouleborg
4834,40531,Oulu
4835,40531,Toppila
4836,40531,Uleaborg
4837,40531,Ouleborg/Oulu/Toppila/Uleaborg
4838,40532,Koverhar
4839,40532,Koverhar
4840,40533,Loviisa
4841,40533,Lovisa
4842,40533,Loviisa/Lovisa
4843,40533,Loviisa
4844,40533,Lovisa
4845,40533,Loviisa/Lovisa
4846,40534,Porvoo
4847,40534,Skoldvik
4848,40534,Porvoo/Skoldvik
4849,40534,Porvoo
4850,40534,Skoldvik
4851,40534,Porvoo/Skoldvik
4852,40535,Raahe
4853,40535,Raahe
4854,40536,Saimaa Canal
4855,40536,Saimaa Canal
4856,40537,Nystad
4857,40537,Uusikaupunki
4858,40537,Nystad/Uusikaupunki
4859,40537,Nystad
4860,40537,Uusikaupunki
4861,40537,Nystad/Uusikaupunki
4862,40538,Vaasa
4863,40538,Vaasa
4864,40543,Kemi
4865,40543,Kemi
4866,40549,Kotka
4867,40549,Kotka
4868,40551,Mantyluoto
4869,40551,Mantyluoto
4870,40552,Naantali
4871,40552,Naantali
4872,40562,Bjorneborg
4873,40562,Pori
4874,40562,Bjorneborg/Pori
4875,40562,Bjorneborg
4876,40562,Pori
4877,40562,Bjorneborg/Pori
4878,40571,Rauma
4879,40571,Rauma
4880,40587,Abo
4881,40587,Turku
4882,40587,Abo/Turku
4883,40587,Abo
4884,40587,Turku
4885,40587,Abo/Turku
4886,40591,Ykspihlaja
4887,40591,Yxpila
4888,40591,Ykspihlaja/Yxpila
4889,40591,Ykspihlaja
4890,40591,Yxpila
4891,40591,Ykspihlaja/Yxpila
4892,40900,All Other Denmark Ports
4893,40900,Assens
4894,40900,Bandholm
4895,40900,Bogense
4896,40900,Bornholm
4897,40900,Elsinore
4898,40900,Glostrup
4899,40900,Grenaa
4900,40900,Hansted
4901,40900,Hanstholm
4902,40900,Helsingor
4903,40900,Kastrup
4904,40900,Lindo
4905,40900,Logstor
4906,40900,Sjaelland
4907,40900,Sjaellands Odde
4908,40900,Skagen
4909,40900,Sonderborg
4910,40900,Stege
4911,40900,Stubbekobing
4912,40900,Thisted
4913,40900,Tuborg
4914,40900,Tuborg Havn
4915,40900,All Other Denmark Ports
4916,40900,Assens
4917,40900,Bandholm
4918,40900,Bogense
4919,40900,Bornholm
4920,40900,Elsinore
4921,40900,Glostrup
4922,40900,Grenaa
4923,40900,Hansted
4924,40900,Hanstholm
4925,40900,Helsingor
4926,40900,Kastrup
4927,40900,Lindo
4928,40900,Logstor
4929,40900,Sjaelland
4930,40900,Sjaellands Odde
4931,40900,Skagen
4932,40900,Sonderborg
4933,40900,Stege
4934,40900,Stubbekobing
4935,40900,Thisted
4936,40900,Tuborg
4937,40900,Tuborg Havn
4938,40901,Aabenraa
4939,40901,Aabenraa
4940,40903,Aalborg
4941,40903,Aalborg
4942,40906,Aarhus
4943,40906,Aarhus
4944,40908,Enstead
4945,40908,Ensteadvaerket
4946,40908,Ensted
4947,40908,Enstedvaerkets Havn
4948,40908,Enstead/Ensteadvaerket/Ensted/Enstedvaerkets Havn
4949,40908,Enstead
4950,40908,Ensteadvaerket
4951,40908,Ensted
4952,40908,Enstedvaerkets Havn
4953,40908,Enstead/Ensteadvaerket/Ensted/Enstedvaerkets Havn
4954,40909,Frederikshavn
4955,40909,Frederikshavn
4956,40910,Gulfhavn
4957,40910,Gulfhavn
4958,40911,Haderslev
4959,40911,Haderslev
4960,40912,Hobro
4961,40912,Hobro
4962,40913,Holbaek
4963,40913,Holbaek
4964,40914,Horsens
4965,40914,Horsens
4966,40915,Kjoge
4967,40915,Koge
4968,40915,Kjoge/Koge
4969,40915,Kjoge
4970,40915,Koge
4971,40915,Kjoge/Koge
4972,40916,Kolding
4973,40916,Kolding
4974,40917,Korsor
4975,40917,Korsor
4976,40918,Kyndby
4977,40918,Kyndbyvaerkets Havn
4978,40918,Kyndby/Kyndbyvaerkets Havn
4979,40918,Kyndby
4980,40918,Kyndbyvaerkets Havn
4981,40918,Kyndby/Kyndbyvaerkets Havn
4982,40919,Esbjerg
4983,40919,Esbjerg
4984,40921,Fredericia
4985,40921,Fredericia
4986,40922,Nakskov
4987,40922,Nakskov
4988,40923,Nyborg
4989,40923,Nyborg
4990,40924,Nykobing
4991,40924,Nykobing
4992,40925,Randers
4993,40925,Randers
4994,40926,Ronne
4995,40926,Ronne
4996,40927,Struer
4997,40927,Struer
4998,40928,Svendborg
4999,40928,Svendborg
5000,40929,Veile
5001,40929,Vejle
5002,40929,Veile/Vejle
5003,40929,Veile
5004,40929,Vejle
5005,40929,Veile/Vejle
5006,40940,Asnaes
5007,40940,Asnaesvaerkets Havn
5008,40940,Kalundborg
5009,40940,Asnaes/Asnaesvaerkets Havn/Kalundborg
5010,40940,Asnaes
5011,40940,Asnaesvaerkets Havn
5012,40940,Kalundborg
5013,40940,Asnaes/Asnaesvaerkets Havn/Kalundborg
5014,40948,Copenhagen
5015,40948,Kobenhavn
5016,40948,Copenhagen/Kobenhavn
5017,40948,Copenhagen
5018,40948,Kobenhavn
5019,40948,Copenhagen/Kobenhavn
5020,40956,Norresundby
5021,40956,Norresundby
5022,40961,Odense
5023,40961,Odense
5024,40971,Stigsnaes
5025,40971,Stigsnaesvaerkets Havn
5026,40971,Stigsnaes/Stigsnaesvaerkets Havn
5027,40971,Stigsnaes
5028,40971,Stigsnaesvaerkets Havn
5029,40971,Stigsnaes/Stigsnaesvaerkets Havn
5030,40985,Tvoroyal
5031,40985,All Faroe Islands Ports
5032,40985,Fuglejord
5033,40985,Funglafjordur
5034,40985,Klaksvik
5035,40985,Thorshavn
5036,40985,Torshavn
5037,40985,Tvoroyri
5038,40985,Vaag
5039,40985,Vagur
5040,40985,Vestmanhavn
5041,40985,Vestmann
5042,40985,Tvoroyal
5043,40985,All Faroe Islands Ports
5044,40985,Fuglejord
5045,40985,Funglafjordur
5046,40985,Klaksvik
5047,40985,Thorshavn
5048,40985,Torshavn
5049,40985,Tvoroyri
5050,40985,Vaag
5051,40985,Vagur
5052,40985,Vestmanhavn
5053,40985,Vestmann
5054,41201,Avonmouth
5055,41201,Avonmouth
5056,41207,Birkenhead
5057,41207,Birkenhead
5058,41211,Bebington
5059,41211,Bristol
5060,41211,Bebington/Bristol
5061,41211,Bebington
5062,41211,Bristol
5063,41211,Bebington/Bristol
5064,41214,Bromsborough
5065,41214,Bromsborough
5066,41216,Eastham
5067,41216,Eastham
5068,41227,Ellesmere
5069,41227,Stanlow
5070,41227,Ellesmere/Stanlow
5071,41227,Ellesmere
5072,41227,Stanlow
5073,41227,Ellesmere/Stanlow
5074,41231,Erith
5075,41231,Erith
5076,41249,Land's End
5077,41249,Land's End
5078,41251,Liverpool
5079,41251,Liverpool
5080,41253,Acton Grange
5081,41253,Manchester
5082,41253,Salford
5083,41253,Acton Grange/Manchester/Salford
5084,41253,Acton Grange
5085,41253,Manchester
5086,41253,Salford
5087,41253,Acton Grange/Manchester/Salford
5088,41258,Newport
5089,41258,Newport
5090,41262,Portbury
5091,41262,Portbury
5092,41264,Preston
5093,41264,Preston
5094,41269,Seaforth
5095,41269,Seaforth
5096,41299,All Other England West Coast Ports
5097,41299,Barrow in Furness
5098,41299,Bideford
5099,41299,Fleetwood
5100,41299,Garston
5101,41299,Gloucester
5102,41299,Runcorn
5103,41299,Sharpness
5104,41299,Silloth
5105,41299,Workington
5106,41299,All Other England West Coast Ports
5107,41299,Barrow in Furness
5108,41299,Bideford
5109,41299,Fleetwood
5110,41299,Garston
5111,41299,Gloucester
5112,41299,Runcorn
5113,41299,Sharpness
5114,41299,Silloth
5115,41299,Workington
5116,41320,Dagenham
5117,41320,Dagenham
5118,41323,Felixstowe
5119,41323,Felixstowe
5120,41328,Falmouth
5121,41328,Falmouth
5122,41329,Fawley
5123,41329,Fawley
5124,41332,Fowey
5125,41332,Fowey
5126,41335,Goole
5127,41335,Goole
5128,41336,Greenhite
5129,41336,Greenhithe
5130,41336,Greenhite/Greenhithe
5131,41336,Greenhite
5132,41336,Greenhithe
5133,41336,Greenhite/Greenhithe
5134,41337,Dover
5135,41337,Dover
5136,41338,Hartlepool
5137,41338,Hartlepool
5138,41341,Hull
5139,41341,Hull
5140,41342,Immingham
5141,41342,Immingham
5142,41343,Kings North
5143,41343,Kingsnorth
5144,41343,Kings North/Kingsnorth
5145,41343,Kings North
5146,41343,Kingsnorth
5147,41343,Kings North/Kingsnorth
5148,41345,Killingholme
5149,41345,Killingholme
5150,41351,Thamesport
5151,41351,Thamesport
5152,41352,Coryton
5153,41352,London
5154,41352,Coryton/London
5155,41352,Coryton
5156,41352,London
5157,41352,Coryton/London
5158,41355,Middlesbrough
5159,41355,Middlesbrough
5160,41356,Newcastle on Tyne
5161,41356,Newcastle on Tyne
5162,41357,Newhaven
5163,41357,Newhaven
5164,41358,Oakham Ness
5165,41358,Oakham Ness
5166,41359,Berwick
5167,41359,Berwick upon Tweed
5168,41359,Berwick/Berwick upon Tweed
5169,41359,Berwick
5170,41359,Berwick upon Tweed
5171,41359,Berwick/Berwick upon Tweed
5172,41360,Plymouth
5173,41360,Plymouth
5174,41362,Redcar
5175,41362,Redcar
5176,41370,Ridham Dock
5177,41370,Sheerness
5178,41370,Ridham Dock/Sheerness
5179,41370,Ridham Dock
