,importer_rank,importer_raw_name,importer_deduped_name
62,2,SAMSUNG ELECTRONICS HOME APPLIANCEA,SAMSUNG ELECTRONICS AMERICA INC
63,2,SAMSUNG ELECTRONICS HOME APPLIANCES,SAMSUNG ELECTRONICS AMERICA INC
64,2,SAMSUNG ELECTRONICS LATINO AMERIC,SAMSUNG ELECTRONICS AMERICA INC
65,2,SAMSUNG ELECTRONICS LATINO AMERICA,SAMSUNG ELECTRONICS AMERICA INC
66,2,SAMSUNG ELECTRONICS LATINOAMERICA,SAMSUNG ELECTRONICS AMERICA INC
67,2,SAMSUNG ELECTRONICS LATINOAMERICA M,SAMSUNG ELECTRONICS AMERICA INC
68,2,SAMSUNG ELECTRONICS MIAMI INC,SAMSUNG ELECTRONICS AMERICA INC
69,2,SAMSUNG ELECTRONICS PERU SAC,SAMSUNG ELECTRONICS AMERICA INC
70,4,L. G. ELECTRONIK,LG ELECTRONICS
71,4,L.G. ELECTRONIK,LG ELECTRONICS
72,4,L.G.ELECTRONIK,LG ELECTRONICS
73,4,LG ELECTROINICS INC,LG ELECTRONICS
74,4,"LG ELECTRONCIS, USA",LG ELECTRONICS
75,4,LG ELECTRONIC INC,LG ELECTRONICS
76,4,LG ELECTRONIC USA,LG ELECTRONICS
77,4,"LG ELECTRONIC, USA",LG ELECTRONICS
78,4,LG ELECTRONICS,LG ELECTRONICS
79,4,LG ELECTRONICS ALABAM INC,LG ELECTRONICS
80,4,LG ELECTRONICS ALABAMA INC,LG ELECTRONICS
81,4,LG ELECTRONICS ALABAMA INC.,LG ELECTRONICS
82,4,"LG ELECTRONICS ALABAMA, INC",LG ELECTRONICS
83,4,"LG ELECTRONICS ALABAMA, INC.",LG ELECTRONICS
84,4,"LG ELECTRONICS ALABAMA,INC",LG ELECTRONICS
85,4,"LG ELECTRONICS ALABAMA,INC.",LG ELECTRONICS
86,4,LG ELECTRONICS CANADA INC,LG ELECTRONICS
87,4,LG ELECTRONICS CANADA INC.,LG ELECTRONICS
88,4,"LG ELECTRONICS CANADA, INC",LG ELECTRONICS
89,4,"LG ELECTRONICS CANADA, INC.",LG ELECTRONICS
90,4,LG ELECTRONICS CANADA.,LG ELECTRONICS
91,4,LG ELECTRONICS INC,LG ELECTRONICS
92,4,"LG ELECTRONICS INC,",LG ELECTRONICS
93,4,LG ELECTRONICS INC.,LG ELECTRONICS
94,4,LG ELECTRONICS TN,LG ELECTRONICS
95,4,LG ELECTRONICS U S A,LG ELECTRONICS
96,4,LG ELECTRONICS U S A INC,LG ELECTRONICS
97,4,LG ELECTRONICS U.S.A,LG ELECTRONICS
98,4,LG ELECTRONICS U.S.A INC,LG ELECTRONICS
99,4,"LG ELECTRONICS U.S.A INC,",LG ELECTRONICS
100,4,LG ELECTRONICS U.S.A INC.,LG ELECTRONICS
101,4,LG ELECTRONICS U.S.A INC. 1000,LG ELECTRONICS
102,4,LG ELECTRONICS U.S.A INC. 1000 SY,LG ELECTRONICS
103,4,LG ELECTRONICS U.S.A INC. 1000 SYLV,LG ELECTRONICS
104,4,LG ELECTRONICS U.S.A INC. 111 SYL,LG ELECTRONICS
105,4,LG ELECTRONICS U.S.A INC. 111 SYLVA,LG ELECTRONICS
106,4,LG ELECTRONICS U.S.A INC.1000 SYLV,LG ELECTRONICS
107,4,"LG ELECTRONICS U.S.A, INC",LG ELECTRONICS
108,4,LG ELECTRONICS U.S.A.,LG ELECTRONICS
109,4,LG ELECTRONICS U.S.A. INC,LG ELECTRONICS
110,4,LG ELECTRONICS U.S.A. INC.,LG ELECTRONICS
111,4,LG ELECTRONICS U.S.A. INC. 1000,LG ELECTRONICS
112,4,LG ELECTRONICS U.S.A. INC. 1000 S,LG ELECTRONICS
113,4,LG ELECTRONICS U.S.A. INC. 1000 SY,LG ELECTRONICS
114,4,LG ELECTRONICS U.S.A. INC. 1000 SYL,LG ELECTRONICS
115,4,LG ELECTRONICS U.S.A. INC. 111 SY,LG ELECTRONICS
116,4,LG ELECTRONICS U.S.A. INC. 111 SYL,LG ELECTRONICS
117,4,LG ELECTRONICS U.S.A. INC. 111 SYLV,LG ELECTRONICS
118,4,LG ELECTRONICS U.S.A. INC.1000 SY,LG ELECTRONICS
119,4,LG ELECTRONICS U.S.A. INC.1000 SYL,LG ELECTRONICS
120,4,LG ELECTRONICS U.S.A. INC.1000 SYLV,LG ELECTRONICS
121,4,"LG ELECTRONICS U.S.A., INC",LG ELECTRONICS
122,4,"LG ELECTRONICS U.S.A., INC.",LG ELECTRONICS
123,4,"LG ELECTRONICS U.S.A., INC. 1000",LG ELECTRONICS
124,4,"LG ELECTRONICS U.S.A.,INC",LG ELECTRONICS
125,4,"LG ELECTRONICS U.S.A.,INC.",LG ELECTRONICS
126,4,LG ELECTRONICS U.S.A.INC,LG ELECTRONICS
127,4,LG ELECTRONICS U.S.A.INC.,LG ELECTRONICS
128,4,LG ELECTRONICS USA,LG ELECTRONICS
129,4,LG ELECTRONICS USA 1000 SYLVAN AV,LG ELECTRONICS
130,4,LG ELECTRONICS USA 1000 SYLVAN AVE,LG ELECTRONICS
131,4,LG ELECTRONICS USA 1000 SYLVAN AVE.,LG ELECTRONICS
132,4,LG ELECTRONICS USA 111 SYLVAN AVE,LG ELECTRONICS
133,4,"LG ELECTRONICS USA 111 SYLVAN AVE,",LG ELECTRONICS
134,4,LG ELECTRONICS USA 111 SYLVAN AVE.,LG ELECTRONICS
135,4,LG ELECTRONICS USA 111 SYLVAN AVENU,LG ELECTRONICS
136,4,LG ELECTRONICS USA INC,LG ELECTRONICS
137,4,LG ELECTRONICS USA INC 1000,LG ELECTRONICS
138,4,LG ELECTRONICS USA INC.,LG ELECTRONICS
139,4,LG ELECTRONICS USA INC. 1000,LG ELECTRONICS
140,4,LG ELECTRONICS USA INC. 1000 SYLV,LG ELECTRONICS
141,4,LG ELECTRONICS USA INC. 1000 SYLVA,LG ELECTRONICS
142,4,"LG ELECTRONICS USA INC.,",LG ELECTRONICS
143,4,"LG ELECTRONICS USA,",LG ELECTRONICS
144,4,"LG ELECTRONICS USA, INC",LG ELECTRONICS
145,4,"LG ELECTRONICS USA, INC (SOLAR",LG ELECTRONICS
146,4,"LG ELECTRONICS USA, INC.",LG ELECTRONICS
147,4,"LG ELECTRONICS USA, INC. 315 W. 2ND",LG ELECTRONICS
148,4,"LG ELECTRONICS USA, INC. 3525",LG ELECTRONICS
149,4,"LG ELECTRONICS USA, INC. 3525 JIM",LG ELECTRONICS
150,4,"LG ELECTRONICS USA, INC. 3525 JIM J",LG ELECTRONICS
151,4,"LG ELECTRONICS USA,INC.",LG ELECTRONICS
152,4,LG ELECTRONICS USA.INC.,LG ELECTRONICS
153,4,LG ELECTRONICS USAINC,LG ELECTRONICS
154,4,LG ELECTRONICS USAINC.,LG ELECTRONICS
155,4,LG ELECTRONICS VEHICLE COMP,LG ELECTRONICS
156,4,LG ELECTRONICS VEHICLE COMPO,LG ELECTRONICS
157,4,LG ELECTRONICS VEHICLE COMPON,LG ELECTRONICS
158,4,LG ELECTRONICS VEHICLE COMPONENTS,LG ELECTRONICS
159,4,LG ELECTRONICS VEHICLE COMPONENTS U,LG ELECTRONICS
160,4,"LG ELECTRONICS,",LG ELECTRONICS
161,4,"LG ELECTRONICS, INC",LG ELECTRONICS
162,4,"LG ELECTRONICS, U.S.A",LG ELECTRONICS
163,4,"LG ELECTRONICS, U.S.A. INC.",LG ELECTRONICS
164,4,"LG ELECTRONICS, USA",LG ELECTRONICS
165,4,"LG ELECTRONICS, USA 1000 SYLVAN A",LG ELECTRONICS
166,4,"LG ELECTRONICS, USA 1000 SYLVAN AVE",LG ELECTRONICS
167,4,"LG ELECTRONICS, USA 111 SYLVAN AV",LG ELECTRONICS
168,4,"LG ELECTRONICS, USA 111 SYLVAN AVE,",LG ELECTRONICS
169,4,"LG ELECTRONICS, USA 111 SYLVAN AVEN",LG ELECTRONICS
170,4,"LG ELECTRONICS,USA",LG ELECTRONICS
171,4,LG ELECTRONICS. USA,LG ELECTRONICS
172,4,LG ELECTRONIS U.S.A.INC.,LG ELECTRONICS
173,4,LGELECTRONICSU.S.A.INC,LG ELECTRONICS
174,5,CHIQUITA FRESH NORTH AMERICA,CHIQUITA FRESH NORTH AMERICA
175,5,CHIQUITA FRESH NORTH AMERICA L.L.,CHIQUITA FRESH NORTH AMERICA
176,5,CHIQUITA FRESH NORTH AMERICA L.L.C,CHIQUITA FRESH NORTH AMERICA
177,5,CHIQUITA FRESH NORTH AMERICA L.L.C.,CHIQUITA FRESH NORTH AMERICA
178,5,CHIQUITA FRESH NORTH AMERICA LLC,CHIQUITA FRESH NORTH AMERICA
179,5,CHIQUITA FRESH NORTH AMERICAL.L.C,CHIQUITA FRESH NORTH AMERICA
180,5,CHIQUITA FRESH NORTH AMERICALLC,CHIQUITA FRESH NORTH AMERICA
181,5,CHIQUITA FRESH NORTHAMERICA LLC,CHIQUITA FRESH NORTH AMERICA
182,5,CHIQUITA FRESHNORTH AMERICA LLC,CHIQUITA FRESH NORTH AMERICA
183,5,CHIQUITAFRESH NORTH AMERICA L.L.C,CHIQUITA FRESH NORTH AMERICA
184,5,CHIQUITAFRESH NORTH AMERICA LLC,CHIQUITA FRESH NORTH AMERICA
185,6,5100 - COM-10 IKEA SUPPLY AG,IKEA
186,6,5100-COM-1,IKEA
187,6,5100-COM-1 IKEA,IKEA
188,6,5100-COM-1 IKEA SUPPLY,IKEA
189,6,5100-COM-1 IKEA SUPPLY AG,IKEA
190,6,5100-COM-10,IKEA
191,6,5100-COM-10 - IKEA SUPPLY AG,IKEA
192,6,5100-COM-10 IKEA,IKEA
193,6,5100-COM-10 IKEA SUPPLY AG,IKEA
194,6,5100-COM-10 IKEA SUPPLY AG C/O,IKEA
195,6,5100-COM-10 IKEASUPPLY AG,IKEA
196,6,"5100-COM-10, IKEA SUPPLY AG",IKEA
197,6,5100-COM-14,IKEA
198,6,5100-COM-14 IKEA,IKEA
199,6,5100-COM-14 IKEA SUPPLY AG,IKEA
200,6,5100-COM-15,IKEA
201,6,5100-COM-15 IKEA,IKEA
202,6,5100-COM-15 IKEA SUPPLY AG,IKEA
203,6,5100-COM-24,IKEA
204,6,5100-COM-24 IKEA,IKEA
205,6,5100-COM-24 IKEA SUPPLY AG,IKEA
206,6,5100-COM-65,IKEA
207,6,5100-COM-65 IKEA,IKEA
208,6,5100-COM-65 IKEA SUPPLY AG,IKEA
209,6,5100-COM-65 IKEASUPPLY AG,IKEA
210,6,"5100-COM-65, IKEA SUPPLY AG",IKEA
211,6,5100-COM-68,IKEA
212,6,5100-COM-68 IKEA,IKEA
213,6,5100-COM-68 IKEA SUPPLY AG,IKEA
214,6,"5100-COM-68, IKEA SUPPLY AG",IKEA
215,6,5100-COM-71,IKEA
216,6,5100-COM-71 IKEA SUPPLY AG,IKEA
217,6,5100-COM-71 IKEA SUPPLY AG 4604,IKEA
218,6,5100-COM-71IKEA SUPPLY AG,IKEA
219,6,5100-COM-71IKEA SUPPLY AG 4604,IKEA
220,6,5100-COM-72,IKEA
221,6,51100-COM-68 IKEA SUPPLY AG,IKEA
222,6,IKEA DISTRIBUTION SERVICE,IKEA
223,6,IKEA DISTRIBUTION SERVICES,IKEA
224,6,IKEA DISTRIBUTION SERVICES (SHANGHA,IKEA
